"Gene"	"X3UTR"	"X5UTR"	"CDS"	"promCore"
"APLNR"	0.452289529613155	0.476781123650079	0.480490571610676	0.600250221544951
"APOB"	0.788817427434844	0.494471356529639	0.0526935593324874	0.853371906948328
"APOBEC1"	0.678795836292947	0.491578588344456	0.0835241754525813	0.412501860349565
"APOBEC3G"	0.920116292750365	0.439365805904468	0.803418410895208	0.992070247729039
"APRT"	NA	0.227450108425778	0.96417235262266	0.387459578586368
"AQP10"	0.889440872425271	0.17665568658199	0.796777209358785	0.117824519592456
"AQP12A"	NA	0.459546340703069	0.460804210027765	0.99807920447711
"AREG"	NA	0.497629191306344	0.999884271364205	1
"ARF1"	0.39637240033391	0.337390281287676	0.752794431791359	0.827219363159274
"ARHGAP10"	0.994237306800055	0.480910116247474	0.908910471367371	0.964332553985759
"ARHGAP17"	0.0814436973382741	0.433230414987271	0.816912516259517	0.472962203855827
"ARHGAP22"	NA	0.496042892903758	0.764960963221621	0.951941324542908
"ARHGAP23"	0.80898780430925	0.334622883745518	0.200515436975694	0.93174212503528
"ARHGAP30"	0.980970865075149	0.254073298806824	0.258263744639371	0.0568327746731054
"ARHGAP32"	0.857928867617901	0.48131771016071	0.932436104516903	0.649241084337054
"ARHGAP33"	NA	0.480937298146247	0.257028373705642	0.975101184162966
"ARHGEF1"	0.654712351711486	0.497858658811735	0.824387115160141	0.822510920773048
"ARHGEF11"	0.920462082546816	0.372422877969097	0.772519456105984	0.496333786625626
"ARHGEF18"	0.340183005169647	0.18815262100445	0.903456984688157	0.886022530393447
"ARHGEF38"	0.179937840099194	0.454596724401637	0.747981390015466	0.903721484091273
"ARID3A"	0.562921749554513	0.287163508046931	0.882488248165503	0.797922704731483
"ARIH1"	0.0750605836577137	0.337856814879443	0.828195324602785	0.340584905862423
"ARIH2"	0.944988286357233	0.128652807859233	0.882914883742162	NA
"ARNT"	0.029293807716442	0.268816784140173	0.188967783793179	0.692342925792214
"ARPC1B"	0.815254510904785	0.357671355675862	0.547583814785215	0.983890015388454
"ARPC2"	0.00577641104852014	0.489903719998691	0.773028460912625	0.981792442772381
